metric,value
val_loss,0.3693
acc,0.9575
dice,0.8783
mIoU,0.7984
sensitivity,0.8746
specificity,0.9795
f1,0.8783
best_dice,0.8802
dataset,ISIC_2018
data_root,dataset_split
epochs,25
batch_size,2
lr,0.0005
weight_decay,0.01
img_size,384
fast,False
workers,0
checkpoint,checkpoints/sam2_hiera_large.pt
resume,
save_dir,checkpoints
exp,boundary_final
