metric,value
val_loss,1.4327
acc,0.3204
dice,0.3250
mIoU,0.2112
sensitivity,0.8747
specificity,0.1765
f1,0.3250
best_dice,0.3255
dataset,ISIC_2018
data_root,dataset_split
epochs,2
batch_size,2
lr,0.001
weight_decay,0.01
boundary_lambda,0.1
img_size,384
fast,False
workers,2
checkpoint,checkpoints/sam2_hiera_large.pt
resume,
save_dir,checkpoints
exp,sanity_final
