metric,value
val_loss,1.5955
acc,0.5526
dice,0.1901
mIoU,0.1089
sensitivity,0.2840
specificity,0.6183
f1,0.1901
best_dice,0.1930
dataset,ISIC_2018
data_root,dataset_split
epochs,2
batch_size,2
lr,0.0005
weight_decay,0.01
boundary_lambda,0.05
img_size,384
fast,False
workers,2
checkpoint,checkpoints/sam2_hiera_large.pt
resume,
save_dir,checkpoints
exp,sanity_final2
