metric,value
val_loss,0.5348
acc,0.9430
dice,0.8386
mIoU,0.7490
sensitivity,0.8130
specificity,0.9859
f1,0.8386
best_dice,0.8499
dataset,ISIC_2018
data_root,dataset_split
epochs,2
batch_size,2
lr,0.0005
weight_decay,0.01
img_size,384
fast,False
workers,2
checkpoint,checkpoints/sam2_hiera_large.pt
resume,
save_dir,checkpoints
exp,sanity_clean
