metric,value
val_loss,1.4697
acc,0.4255
dice,0.2808
mIoU,0.1743
sensitivity,0.6118
specificity,0.3750
f1,0.2808
best_dice,0.2808
dataset,ISIC_2018
data_root,dataset_split
epochs,2
batch_size,2
lr,0.001
weight_decay,0.01
boundary_lambda,0.1
img_size,384
fast,False
workers,2
checkpoint,checkpoints/sam2_hiera_large.pt
resume,
save_dir,checkpoints
exp,sanity_final_clean
