Model,Dataset,Final Train Loss,Final Val Loss,Final Val Dice,Final Val IoU,Checkpoint Path
unet,ISIC_2016,,1.2405927367508411,0.40095340786501765,0.26769765218098956,results\2026-03-20_03-28-38\unet_ISIC_2016.pth
maffnet,ISIC_2016,,1.671202124406894,0.021945057544895216,0.011249535057527944,results\2026-03-20_03-28-38\maffnet_ISIC_2016.pth
transunet,ISIC_2016,,0.6013533583221337,0.6792625629385881,0.5744968974200412,results\2026-03-20_03-28-38\transunet_ISIC_2016.pth
unet,ISIC_2017,,1.3606430968722782,0.3078870206278422,0.19978043839738174,results\2026-03-20_03-28-38\unet_ISIC_2017.pth
maffnet,ISIC_2017,,1.6805199441072103,0.012659662510614797,0.006417651558955934,results\2026-03-20_03-28-38\maffnet_ISIC_2017.pth
transunet,ISIC_2017,,0.4217056078282562,0.7793133837749829,0.6650723881415419,results\2026-03-20_03-28-38\transunet_ISIC_2017.pth
unet,ISIC_2018,,1.3269472491173517,0.322611716758243,0.21038850653108465,results\2026-03-20_03-28-38\unet_ISIC_2018.pth
maffnet,ISIC_2018,,1.6759462066428372,0.017200978491436165,0.008750704238282964,results\2026-03-20_03-28-38\maffnet_ISIC_2018.pth
transunet,ISIC_2018,,0.49765940176116097,0.7479674187365664,0.6273364943092462,results\2026-03-20_03-28-38\transunet_ISIC_2018.pth
