metric,value
val_loss,1.5278
acc,0.7048
dice,0.1324
mIoU,0.0719
sensitivity,0.1205
specificity,0.8616
f1,0.1324
best_dice,0.1426
dataset,ISIC_2018
data_root,dataset_split
epochs,25
batch_size,4
lr,0.001
weight_decay,0.01
rec_lambda,0.1
boundary_lambda,0.5
img_size,384
fast,False
workers,2
checkpoint,checkpoints/sam2_hiera_large.pt
resume,
save_dir,checkpoints
exp,boundary_25
