metric,value
val_loss,0.3544
acc,0.9585
dice,0.8840
mIoU,0.8069
sensitivity,0.8815
specificity,0.9816
f1,0.8840
best_dice,0.8855
dataset,ISIC_2018
data_root,dataset_split
epochs,25
batch_size,2
lr,0.0005
weight_decay,0.01
img_size,384
fast,False
workers,2
checkpoint,checkpoints/sam2_hiera_large.pt
resume,
save_dir,checkpoints
exp,final_baseline
