metric,value
val_loss,1.5744
acc,0.4499
dice,0.2912
mIoU,0.1827
sensitivity,0.6168
specificity,0.4082
f1,0.2912
best_dice,0.2946
dataset,ISIC_2018
data_root,dataset_split
epochs,25
batch_size,2
lr,0.0005
weight_decay,0.01
img_size,384
fast,False
workers,2
checkpoint,checkpoints/sam2_hiera_large.pt
resume,
save_dir,checkpoints
exp,boundary_refined
