metric,value
val_loss,1.5286
acc,0.3583
dice,0.2460
mIoU,0.1494
sensitivity,0.5474
specificity,0.3046
f1,0.2460
best_dice,0.2471
dataset,ISIC_2018
data_root,dataset_split
epochs,2
batch_size,2
lr,0.001
weight_decay,0.01
boundary_lambda,0.1
img_size,384
fast,False
workers,2
checkpoint,checkpoints/sam2_hiera_large.pt
resume,
save_dir,checkpoints
exp,sanity_check
